Control,"AWGControl:EVENt:DJUMp:DEFine <event_pattern>,<jump_target>",AWGControl:EVENt:DJUMp:DEFine? <event_pattern>,,,"event_pattern::=<NR1>. The values ranges between 0 and 511. This
parameter specifies the event pattern to make an event jump. The event bits are
mapped to the integer value as follows:
MSB LSB
Event bits ?€??€??€? ?€??€??€? ?€??€?-8 76543210
jump_target::=<NR1>. The values are ?€?1 and 1 to maximum sequence length.
This parameter specifies the sequence index as the jump target. If ?€?1 is specified,
the event jump for the specified <event_pattern> is cancelled.
At *RST, all definitions are cancelled.
","AWGCONTROL:EVENT:DJUMP:DEFINE 15,3 sets the jump target index to third
sequence element for the event pattern 00001111.
AWGCONTROL:EVENT:DJUMP:DEFINE? 15 might return 3.
","This command associates an event pattern with the jump target for Dynamic Jump.
The query returns the jump target associated to the specified <event_pattern>.
"
Control,AWGControl:EVENt:JMODe <jump_mode>,AWGControl:EVENt:JMODe?,,,"jump_mode::={EJUMp | DJUMp}
EJUMp sets the Jump Mode to Event Jump. The jump targets defined
in the sequence definition table will be used as the jump target. In this
mode, the instrument behavior for the event jump is the same as that of the
AWG7000/AWG5000 series.
DJUMp sets the Jump Mode to Dynamic Jump. The Dynamic Jump target
definitions are used as the jump target. This is also known as Table Jump.
The jump command is always available in both the modes.
At *RST, this returns EJUMp.
","AWGCONTROL:EVENT:JMODE DJUMP sets the Jump Mode to Dynamic Jump.
","This command and query sets or returns the event jump mode.
"
Control,AWGControl:EVENt:SOFTware[:IMMediate] <target>,,,,"<target>::=<NR1>
","AWGCONTROL:EVENT:SOFTWARE:IMMEDIATE 10 forces the sequencer to jump
to index number 10.
","This command executes the sequencer jump to the specified element index.
"
Control,AWGControl:EVENt:TABLe[:IMMediate],,,,,"AWGCONTROL:EVENT:TABLE[:IMMEDIATE] generates an event signal for Table
Jump.
","This command forcibly generates an event in the Table Jump mode.
This command is available for the AWG5012B, AWG5000C, and AWG7000C
with option 09. If the instrument (with option 09) is not in the Table Jump mode,
this command will generate a setting conflict error. To set the Jump mode, use the
AWGControl:ENHanced:SEQuence:JMODe command.
This command is provided for compatibility with the AWG400/500/600/700 series
instruments. The same functionality can be invoked by the EVENt[:IMMediate]
command.
NOTE. The Table Jump definition cannot be created or edited using a remote
command or the screen interface. The Table Jump definition is derived from the
*.SEQ file. Refer to the User Online Help for more information on the Table
Jump definition and SEQ file format.
"
Control,AWGControl:INTerleave:ADJustment:AMPLitude <NR3>,AWGControl:INTerleave:ADJustment:AMPLitude?,"<NR3>
",,"<NR3>
Range is between 0.5 Vpp to 1.0 Vpp when Zeroing is OFF.
0.25 Vpp to 0.5 Vpp when Zeroing is ON.
At *RST, this returns 0 Vpp.
","AWGCONTROL:INTERLEAVE:ADJUSTMENT:AMPLITUDE 1 sets the interleave
adjustment amplitude to 1 volts.
AWGCONTROL:INTERLEAVE:ADJUSTMENT:AMPLITUDE? returns
0.00000000E+000, indicating that the interleave adjustment amplitude is 0 volts.
","This command and query sets or returns the interleave adjustment amplitude.
This command is available only for Option 06. This setting is only valid when the
interleave state is On.
"
Control,AWGControl:INTerleave:ADJustment:PHASe <NR3>,AWGControl:INTerleave:ADJustment:PHASe?,"<NR3>
",,"<NR3>
At *RST, this returns 0 degree.
","AWGCONTROL:INTERLEAVE:ADJUSTMENT:PHASE 120 sets the interleave
adjustment phase to 120 degrees.
AWGCONTROL:INTERLEAVE:ADJUSTMENT:PHASE? returns 1.20000000E+002,
indicating that the interleave adjustment phase is 120 degrees.
","This command and query sets or returns the interleave adjustment phase.
This command is available only for Option 06. This setting is only valid when the
interleave state is On.
"
Control,AWGControl:INTerleave[:STATe] <state>,AWGControl:INTerleave[:STATe]?,"<state>
",,"<state>::=<Boolean>
0 indicates OFF
1 indicates ON
At *RST, this returns 0.
","AWGCONTROL:INTERLEAVE:STATE 1 sets the instrument to interleave mode.
","This command and query sets or returns the interleave state for channels. This is
available only on the AWG7000 series with option 06 instruments.
When Interleave is ON, the output of CH1 and CH2 are mixed at the output circuit
to achieve twice the sampling rate. When interleave state is switched on, then:
Sampling rate is set to the nearest valid value
Waveform remains as before
Sequence pointing to CH2 waveform becomes ?€?Empty?€?
Channel count becomes 1
Coupled channels lose the coupled state
NOTE. Switching the interleave state from ON to OFF will not restore the
sequence CH2 waveforms. Also once the coupled state is lost, it is not restored.
Marker data cannot be interleaved.
Only even marker data is output when the interleave state is ON.
"
Control,AWGControl:INTerleave:ZERoing <state>,AWGControl:INTerleave:ZERoing?,"<state>
",,"<state>::=<Boolean>
0 indicates OFF
1 indicates ON
At *RST, this returns 0.
","AWGCONTROL:INTERLEAVE:ZEROING 1 turns on the zeroing function.
","This command and query sets or returns the state for zeroing when in the
interleave mode.
NOTE. This command is available only on the AWG7000 series with option 06
instruments.
Setting Zeroing to ON will change the amplitude setting range when interleaving
is done. When Zeroing is OFF, amplitude is not affected by the interleave state.
Setting the zeroing state to ON is a trade-off between bandwidth and signal quality.
"
Control,AWGControl:RMODe {CONTinuous|TRIGgered|GATed|SEQuence|ENHanced},AWGControl:RMODe?,"CONT|TRIG|GAT|SEQ
",,"CONTinuous sets Run Mode to Continuous.
TRIGgered sets Run Mode to Triggered.
GATed sets Run Mode to Gated.
SEQuence sets Run Mode to Sequence.
ENHanced is provided only for the compatibility with AWG400/500/600/700
series. In the response, SEQ is returned even if ENH is specified in the command.
At *RST, this value is CONTinuous.
","AWGCONTROL:RMODE TRIGGERED sets the instrument Run mode to Triggered.
AWGCONTROL:RMODE? returns CONT if the instrument is in continuous mode.
The following table lists the run modes and their descriptions:
Argument Description
CONTinuous Selects the continuous mode, which continuously outputs
the waveform. The external trigger, including the FORCE
TRIGGER button and the corresponding remote commands,
has no effect.
TRIGgered Sets the triggered mode, which outputs one waveform cycle
for each trigger.
GATed Selects the gated mode, which continuously outputs the
waveform or sequence as long as the trigger remains
enabled. The trigger remains effective as long as any of
the following events occur:
The FORCE TRIGGER button remains pressed
A valid external gate signal remains input
The TRIGger[:SEQuence][:IMMediate] or
*TRIG command has been executed but an ABORt
command has not yet been issued
SEQuence Selects the sequence mode, which outputs the waveform
according to the sequence file specified with the
SOURce:FUNCtion:USER command. If the sequence
file is not loaded, this mode is the same as the triggered
mode.
","This command and query sets or returns the run mode of the arbitrary waveform
generator.
"
Control,AWGControl:RRATe <repetition_rate>,AWGControl:RRATe?,"<NR3>
",,"<repetition_rate>::=<NR3>
At *RST, this value is 10 MHz.
","AWGCONTROL:RRATE 1000000 sets the repetition rate to 1MHz.
AWGCONTROL:RRATE? returns 1E+6.
","This command and query sets or returns the repetition rate of the arbitrary
waveform generator.
"
Control,AWGControl:RRATe:HOLD <hold_state>,AWGControl:RRATe:HOLD?,"<NR1>
",,"<hold_state>::=<Boolean>
0 indicates OFF
1 indicates ON
At *RST, this returns 0.
","AWGCONTROL:RRATE:HOLD 1 sets the instrument repetition rate to Hold.
","This command and query sets or returns the hold property of repetition rate.
Setting this to ON keeps the repetition rate of the instrument constant even when
the waveform size changes. This causes the sampling rate to change. When this is
OFF, the repetition rate changes when the waveform length changes.
"
Control,AWGControl:RSTate?,,"<NR1>
0 indicates that the instrument has stopped.
1 indicates that the instrument is waiting for trigger.
2 indicates that the instrument is running.
",,,"AWGCONTROL:RSTATE? might return 0 if the instrument waveform generation is
stopped.
","This query returns the run state of the arbitrary waveform generator or the
sequencer.
"
Control,AWGControl:RUN[:IMMediate],,,,,"AWGCONTROL:RUN puts the instrument in the run state.
","This command initiates the output of a waveform or a sequence. This is equivalent
to pressing Run/Stop button on the front panel. The instrument can be put in the
run state only when output waveforms are assigned to channels.
"
Control,AWGControl:SEQuencer:POSition?,,"<NR1>
At *RST, this value is 1.
",,,"AWGCONTROL:SEQUENCER:POSITION? might return 100.
","This query returns the current position of the sequencer.
"
Control,AWGControl:SEQuencer:TYPE?,,"HARDware indicates that the instrument is in the hardware sequencer mode.
SOFTware indicates that the instrument is in the software sequencer mode.
At *RST, this value is HARDware.
",,,"AWGCONTROL:SEQUENCER:TYPE? might return HARD if the instrument is in
the hardware sequencer mode.
","This query returns the type of the arbitrary waveform generator?€?s sequencer. The
sequence is executed by the hardware sequencer whenever possible.
"
Control,AWGControl:SNAMe?,,"<file_name>,<msus>
<file_name>::=<string>
<msus> (mass storage unit specifier)::=<string>
At *RST, this values is ?€??€?,?€?C:?€?
",,,"AWGCONTROL:SNAME? might return the following response:
?€?\my\project\awg\setup\a1.awg?€?,?€?D:?€?
","This query returns the current setup file name of the arbitrary waveform generator.
The response contains the full path for the file including the disk drive.
"
Control,"AWGControl:SREStore <file_name>[,<msus>]",,,,"<file_name>::=<string>
<msus> (mass storage unit specifier)::=<string>
","AWGCONTROL:SRESTORE ?€?Setup1.Awg?€?
","This command restores the arbitrary waveform generator?€?s setting from a specified
settings file. The drive may be a local or a network drive. If the full path is not
specified, the file will be stored in the current path.
"
Control,"AWGControl:SSAVe <file_name>[,<msus>]",,,,"<file_name>::=<string>
<msus> (mass storage unit specifier)::=<string>
","AWGCONTROL:SSAVE ?€?\my\project\awg\setup\x.awg?€?,?€?D:?€? will save
the current setup to ?€?D:\my\project\awg\setup\x.awg?€?.
","This command saves the arbitrary waveform generator?€?s setting to a specified
settings file. The drive may be a local or a network drive. If full path is not
specified, the file will be stored in the current path.
"
Control,AWGControl:STOP[:IMMediate],,,,,"AWGCONTROL:STOP:IMMEDIATE stops the output of a waveform.
","This command stops the output of a waveform or a sequence.
"
Calibration,*CAL?,,"<NR1>
0 indicates no error.
",,,"*CAL? performs an internal calibration and returns results. For example, it might
return 0, which indicates that the calibration completed without any errors.
","This query does an internal calibration of the arbitrary waveform generator and
returns a status that indicates whether the calibration was completed successfully.
"
Calibration,CALibration[:ALL],CALibration[:ALL]?,"<calibration error code> ::= <NR1>
0 indicates no error
?€?340: error
",,,"CALIBRATION:ALL performs an internal calibration.
CALIBRATION:ALL? performs an internal calibration and returns results. For
example, it might return 0, which indicates that the calibration completed without
any errors.
","This command does a full calibration of the arbitrary waveform generator. In its
query form, the command does a full calibration and returns a status indicating
the success or failure of the operation. CALibration[:ALL]? is equivalent
to *CAL?
"
Status,*CLS,,,,,"*CLS clears all the event registers and queues.
","This command clears all event registers and queues.
"
Diagnostic,DIAGnostic:DATA?,,"<NR1>
0 indicates no error.
?€?330 indicates that the self test failed.
",,,"DIAGNOSTIC:DATA? might return 0, which indicates that the diagnostics
completed without any errors.
","This command returns the results of a self test.
"
Diagnostic,DIAGnostic[:IMMediate],DIAGnostic[:IMMediate]?,"<NR1>
0 indicates no error.
?€?330 indicates that the self test failed.
",,,"DIAGNOSTIC:IMMEDIATE executes the self test routines.
DIAGNOSTIC:IMMEDIATE? executes the self test routines. After the self test
routines finish, the results of the self tests are returned.
","This command executes the selected self-test routines. The query form of this
command executes the selected self-test routines and returns the results.
"
Diagnostic,DIAGnostic:SELect {ALL|FPANel|AREGister|DTIMing|A1Memory|A2Memory|A3Memory| A4Memory|CREGister|CPLock|O1Register|O1ALevel|O1MLevel| O2Register|O2ALevel|O2MLevel},DIAGnostic:SELect?,"ALL|FPAN|AREG|DTIM|A1M|A2M|A3M|A4M|CREG|CPL|O1R|O1AL|O1ML|
O2R|O2AL|O2ML
",,,"DIAGNOSTIC:SELECT FPANEL selects the front panel read/write access test.
","This command selects the self-test routines. The query form of this command
returns the selected test routine.
The following selections are available:
ALL
FPANel - Front panel read/write access test
DTIMing ?€? Data timing measurement (for AWG5000 series only)
AREGister ?€? AWG register read back
A1Memory ?€? CH1 waveform memory test
A2Memory ?€? CH2 waveform memory test
A3Memory ?€? CH3 waveform memory test (for AWG5000 series only)
A4Memory ?€? CH4 Waveform memory test (for AWG5000 series only)
CREGister ?€? Clock register read back
CPLock ?€? PLL Lock/unlock
O1Register ?€? Output1 register read back
O1ALevel ?€? Output1 analog level
O1MLevel ?€? Output1 Marker level (for AWG7000 series only)
O2Register ?€? Output2 register read back
O2ALevel ?€? Output2 analog level
O2MLevel ?€? Output2 marker level (for AWG7000 series only)
NOTE. Some of the selections are not available depending on the available
options and the number of channels.
"
Display,DISPlay[:WINDow[1|2]][:STATe] <display_state>,DISPlay[:WINDow[1|2]][:STATe]?,"<NR1>
",,"<display_state>::=<Boolean>
0 indicates False, minimizes the window display.
1 indicates True, restores the window display.
At *RST, this value is 0 for window1 and 1 for window2.
","DISPLAY:WINDOW1:STATE 0 minimizes the sequence window.
","This command minimizes or restores the sequence or waveform window of the
arbitrary waveform generator. This command only minimizes or restores the
display area; it does not close the window. There is no maximizing.
WINDow1 ?€? Sequence window
WINDow2 ?€? Waveform window
"
Status,*ESE <NR1>,*ESE?,"<NR1>
",,"<NR1>
","*ESE 177 sets the ESER to 177 (binary 10110001), which sets the PON, CME,
EXE and OPC bits.
","This command sets or queries the status of Event Status Enable Register.
"
Status,*ESR?,,"<NR1>
",,,"*ESR? might return 181, which indicates that the SESR contains the binary
number 10110101.
","This query returns the status of Standard Event Status Register.
"
Event,EVENt[:IMMediate],,,,,"EVENT:IMMEDIATE generates the event signal.
","This command generates a forced event. This is used to generate
the event when the sequence is waiting for an event jump (See
SEQuence:ELEMent[n]:JTARget:TYPE).
This is equivalent to pressing the Force Event button on the front panel of the
instrument.
"
Event,EVENt:IMPedance <ohms>,EVENt:IMPedance?,"<NR3>
",,"<ohms>::=<NR3>
Valid values are 50 ohm or 1 kohm.
At *RST, this value is 1e3 ohm.
","EVENT:IMPEDANCE 50 sets the impedance to 50 ohms.
","This command and query sets or returns the impedance of the external event input.
Valid values are 50 ohm or 1 kohm.
"
Event,EVENt:JTIMing <jump_type>,EVENt:JTIMing?,"SYNC|ASYN
",,"<jump_type>::={SYNChronous|ASYNchronous}
SYNChronous indicates jump occurs immediately.
ASYNchronous indicates jump occurs after the signal generation is finished.
At *RST, this returns ASYNchronous.
","EVENT:JTIMING ASYNCHROUNOUS sets the jump to asynchronous type.
","This command and query sets or returns the jump timing. Refer to the User Online
Help for more information on jump timing.
"
Event,EVENt:LEVel <level>,EVENt:LEVel?,"<NR3>
",,"<level>::=<NR3>
Range is between 5 V and ?€?5 V.
At *RST, this returns 1.4 V
","EVENT:LEVEL 1.0V sets the level to 1 volt.
","This command and query sets or returns the event level.
"
Event,EVENt:POLarity {POSitive|NEGative},EVENt:POLarity?,"POS|NEG
",,"POSitive indicates that event jump occurs when the instrument receives a
positive pulse.
NEGative indicates that event jump occurs when the instrument receives a
negative pulse.
At *RST, this returns POSitive.
","EVENT:POLARITY NEGATIVE sets the event polarity to negative.
","This command and query sets or returns the polarity of event signal. The Event
Jump is the function to change the sequencing of the waveform by an event signal.
"
System,*IDN?,,"<Manufacturer>, <model>, <serial number>, <Firmware version>
<Manufacturer>:: = TEKTRONIX
<Model>:: = AWG7122C, AWG7082C, AWG7121B, AWG7122B, AWG7061B,
AWG7062B, AWG5012C, AWG5014C, AWG5002C, AWG5012B, AWG5014B,
AWG5002B, AWG5004B
<Serial number>:: = XXXXXXX (indicates an actual serial number)
<Firmware version>:: = SCPI: 99.0 FW:x.x.x.x (x.x.x.x is system software
version)
",,,"*IDN? might return the following response:
TEKTRONIX,AWG7122B,B010123,SCPI:99.0 FW:3.0.136.602
","This command returns identification information for the arbitrary waveform
generator.
"
Instrument,INSTrument:COUPle:SOURce <state>,INSTrument:COUPle:SOURce?,"<state>
",,"<state>::={NONE|PAIR|ALL}
NONE
PAIR ?€? CH1 to CH2 and CH3 to CH4
ALL ?€? CH1 to CH2, CH3, and CH4
","INSTRUMENT:COUPLE:SOURCE ALL couples the CH1 parameters and CH2
parameters if the instrument is a two-channel model.
","This command and query sets or returns the coupled state for a channel.
NOTE. When coupling is done, CH1 can be coupled to CH2, CH3 and CH4. CH3
can be coupled to CH4. Other combinations are not allowed.
When ALL is used, all other channels get the parameters of CH1.
When coupling is done, CH1 parameters are copied to CH2 parameters and CH3
parameters to CH4 parameters. This cannot be changed.
On two channel models, ALL is equivalent to PAIR.
On one channel models, only NONE is available.
In four channel models when PAIR is used, CH1 is coupled to CH2 and CH3 is
coupled to CH4 in one action. Not all parameters are coupled.
When the coupling is active, setting the coupling state to NONE will remove
the coupling.
"
Mass memory,MMEMory:CATalog? [<msus>],,"<NR1>,<NR1>[,<file_entry>]
The first <NR1> indicates the total amount of storage currently used in bytes.
The second <NR1> indicates the free space of mass storage in bytes.
<file_entry>>::= ?€?<file_name>,<file_type>,<file_size>?€?
<file_name>:: = is the exact name of the file.
<file_type>::= is DIR for directory, otherwise it is blank.
<file_size>::=<NR1> is the size of the file in bytes.
",,"<msus> (mass storage unit specifier)::=<string>
","MMEMORY:CATALOG? might return the following response:
484672,3878652,""SAMPLE1.AWG,,2948""
""aaa.txt,,1024"",""ddd,DIR,0"",""zzz.awg,,2948""
","This query returns the current contents and state of the mass storage media.
"
Mass memory,MMEMory:CDIRectory [<directory_name>],MMEMory:CDIRectory?,"<directory_name>
",,"<directory_name>::=<string>
","MMEMORY:CDIRECTORY ""/AWG/WORK0"" changes the current directory to
/AWG/WORK0.
","This command and query sets or returns the current directory of the file system
on the arbitrary waveform generator. The current directory for the programmatic
interface is different from the currently selected directory in the Windows
Explorer on the instrument.
"
Mass memory,"MMEMory:DATA <file_name>,<block_data>",MMEMory:DATA? <file_name>,"Block_data ?€? IEEE 488.2 data block
file_name ?€? string having file name and path.
",,"<file_name>,<block_data>
","MMEMORY:DATA ""FILE1"",#41024XXXXX... loads data into the file FILE1.
","This command and query sets or returns block data to/from the file in the current
mass storage device.
NOTE. The file is always transferred to the path mentioned along with the file
name on the target.
If no path is specified with the file name, the current directory is used.
When path contains only the file name, current path is assumed.
This command has a limit of 650,000,000 bytes of data. If this limit is insufficient,
consider the following alternatives:
Use a more efficient file encoding (WFM or PAT) when sending data.
Use instrument commands for direct control (WLISt:WAVeform:DATA,
FREQ, VOLT, and so on).
Use Ethernet (ftp, http, or file sharing) to transfer the file.
"
Mass memory,"MMEMory:DELete <file_name>[,<msus>]",,,,"<file_name>::=<string>
<msus> (mass storage unit specifier)::=<string>
","MMEM:DEL ?€?SETUP1.AWG?€? deletes SETUP1.AWG in the current directory.
MMEM:DEL ?€?\my\proj\awg\test.awg?€?,?€?D:?€? deletes
D:\my\proj\awg\test.awg, regardless of the current directory
and the current msus.
","This command deletes a file or directory from the instrument?€?s hard disk. When
used on a directory, this command succeeds only if the directory is empty.
"
Mass memory,"MMEMory:IMPort <wfm_name>,<filename>,<type>",,,,"<wfm_name>,<filename>,<type>
<wfm_name>::=<string>
<filename>::=<string>
<type> = {ISF|TDS|TXT|TXT8|TXT10|TXT14|WFM|PAT|TFW}
","MMEMORY:IMPORT ""sine1024"",""sine1024.txt"",txt imports a waveform
file named ""sine1024"", whose file format is text with normalized analog value.
","This command imports a file into the arbitrary waveform generator?€?s setup as
a waveform.
NOTE. If the waveform name already exists, it will be overwritten without
warning.
The file name can contain a path and drive letter.
The supported file formats are:
ISF ?€? TDS3000 and DPO4000 waveform format
TDS ?€? TDS5000/TDS6000/TDS7000, DPO7000/DPO70000/DSA70000 Series
waveform
TXT ?€? Text file with analog data
TXT8 ?€? Text file with 8-bit DAC resolution
TXT10 ?€? Text file with 10-bit DAC resolution
TXT14 ?€? Text file with 14-bit DAC resolution
WFM ?€? AWG400/AWG500/AWG600/AWG700 Series waveform
PAT ?€? AWG400/AWG500/AWG600/AWG700 Series pattern file
TFW ?€? AFG3000 Series waveform file format
IQT ?€? RSA3000 Series waveform file format
TIQ ?€? RSA6000 Series waveform file format
"
Mass memory,MMEMory:IMPort:PARameter:FREQuency[:UPDate][:STATe] <state>,MMEMory:IMPort:PARameter:FREQuency[:UPDate][:STATe]?,"<state>
",,"<state>::=<Boolean>
0 indicates OFF
1 indicates ON
At *RST, this returns 1.
","MMEMORY:IMPORT:PARAMETER:FREQUENCY:UPDATE:STATE 1 the instrument
will automatically modify the sampling rate when importing the waveform data.
","This command sets or queries the FREQuency parameter which determines
whether frequency is modified during waveform import. If this value is set, the
sampling rate is automatically updated during waveform import.
"
Mass memory,MMEMory:IMPort:PARameter:LEVel[:UPDate]:CHANnel <NR1>,MMEMory:IMPort:PARameter:LEVel[:UPDate]:CHANnel?,"1|2|3|4
",,"<NR1>
At *RST, the value is 1.
","MMEMORY:IMPORT:PARAMETER:LEVEL:UPDATE:CHANNEL 1 sets the channel 1
amplitude and offset values to be updated when importing waveform data.
","This command sets or queries the channel for which the amplitude and offset
values will be updated during import.
NOTE. Channel number starts from 1 for CH1, 2 for CH2
Valid input depends on model number and interleave state
This command is effective only when MMEMory:IMPort:PARameter:LEVel[:
UPDate][:STATe] is set to 1
"
Mass memory,MMEMory:IMPort:PARameter:LEVel[:UPDate][:STATe] <state>,MMEMory:IMPort:PARameter:LEVel[:UPDate][:STATe]?,"<Boolean>
",,"<state>::=<Boolean>
0 indicates OFF
1 indicates ON
At *RST, this returns 1.
","MMEMORY:IMPORT:PARAMETER:LEVEL:UPDATE:STATE 1 the instrument will
automatically modify the amplitude and offset when importing the waveform data.
","This command sets or queries the LEVel parameter which determines whether
amplitude and offsets are modified during waveform import. If this value is set,
the instrument amplitude and offset are automatically updated during waveform
import.
"
Mass memory,MMEMory:IMPort:PARameter:LEVel[:UPDate]:TYPE <Type>,MMEMory:IMPort:PARameter:LEVel[:UPDate]:TYPE?,"IDAT|QDAT
",,"<Type>::={IDATa|QDATa}
IDATa indicates that the instrument imports I data.
QDATa indicates that the instrument imports Q data.
At *RST, the value is IDATa.
","MMEMORY:IMPORT:PARAMETER:LEVEL:UPDATE:TYPE IDATA sets I data to be
imported while importing an RSA file.
","This commands sets or queries the data to be imported. It also sets or queries
which data?€?s amplitude and offset values are selected for update during RSA
file import.
This command is effective only when MMEMory:IMPort:PARameter:LEVel[:
UPDate][:STATe] is set to True and IQT or TIQ is selected as the <Type> for the
MMEMory:IMPort command.
"
